,aba,agepr,aise,amr,ancons,cataeu,chaufp,cs42cj,cs42pr,decile,decuc,dip14cj,dip14pr,htl,ident_men,mchof,mchof_d,mfac_eau1_d,mfac_eg1_d,mloy_d,nactifs,nbh1,nbphab,nenfants,ocde10,pondmen,poste_coicop_451,poste_coicop_4511,poste_coicop_452,poste_coicop_453,revtot,situacj,situapr,surfhab_d,tau,tuu,typmen,zeat,part_energies_revtot
7080,2,75.0,3,0.0,5,111,2,0,78,3,6.0,0,50,1,5492,,,230.0,,,0.0,2.0,4.0,0.0,1.0,5915.567521275705,1600.0,0.0,0.0,0.0,20270.0,0,5,98.0,4,4.0,1,2,0.07893438579181056
7081,1,39.0,3,393.0,1,111,2,56,22,10,9.0,50,43,1,5496,,,96.0,,,2.0,3.0,3.0,2.0,2.3,1813.9969495331559,113.0,0.0,0.0,0.0,81936.0,1,1,80.0,5,4.0,4,4,0.0013791251708650655
7082,2,60.0,2,0.0,2,111,1,77,74,9,9.0,50,12,2,5497,,,,,,0.0,1.0,4.0,0.0,1.5,2336.402422305144,248.0,259.0,41.0,0.0,52267.0,5,4,66.0,10,8.0,3,1,0.005529301471291637
7083,2,20.0,3,0.0,1,111,4,0,84,1,1.0,0,41,2,5498,,,,,530.0,0.0,0.0,2.0,0.0,1.0,3754.618762291883,0.0,0.0,0.0,0.0,6015.0,0,3,35.0,9,7.0,1,7,0.0
7084,2,80.0,3,0.0,7,400,4,72,72,4,4.0,41,70,1,5499,,,416.0,,,0.0,1.0,3.0,0.0,1.5,3051.305320982864,1126.0,0.0,0.0,0.0,24635.0,5,5,100.0,0,0.0,3,9,0.04570732697381774
7085,2,28.0,4,0.0,3,111,1,0,43,4,6.0,0,31,2,550,,,,,750.0,1.0,0.0,4.0,1.0,1.3,4137.925938053589,410.0,0.0,160.0,0.0,25119.0,0,1,88.0,9,7.0,2,8,0.022691986145945302
7086,2,53.0,2,0.0,1,111,1,0,37,7,8.0,0,10,2,5500,,,,,,1.0,1.0,1.0,1.0,1.5,3549.761153659468,456.0,0.0,0.0,0.0,41386.0,0,1,26.0,10,8.0,2,1,0.011018218721306722
7087,1,95.0,3,175.0,2,400,4,0,71,1,2.0,0,70,1,5501,,,92.0,,,0.0,9.0,3.0,0.0,1.0,1829.5611482904067,1296.0,0.0,0.0,0.0,11445.0,0,5,60.0,0,0.0,1,5,0.11323722149410223
7088,2,44.0,1,0.0,1,111,2,42,37,10,9.0,10,12,1,5503,,,120.0,,,2.0,0.0,11.0,3.0,2.6,965.4631960348919,2700.0,0.0,2900.0,0.0,91408.0,1,1,350.0,9,7.0,4,3,0.061263784351479084
7089,2,79.0,2,0.0,3,111,6,0,86,7,9.0,0,50,1,5504,,,160.0,,,0.0,3.0,6.0,0.0,1.0,1765.5206181598585,320.0,0.0,809.0,0.0,36417.0,0,5,77.0,9,7.0,1,3,0.03100200455831068
7090,2,71.0,2,0.0,1,112,4,77,78,3,2.0,71,50,1,5505,,,170.0,,,0.0,1.0,4.0,0.0,1.5,1504.7888420722338,1142.0,0.0,0.0,0.0,18325.0,5,5,64.0,8,2.0,3,9,0.06231923601637108
7091,2,58.0,2,0.0,6,111,4,63,33,8,9.0,60,50,1,5506,,,255.0,,,2.0,2.0,6.0,0.0,1.5,1667.6580927922803,2100.0,0.0,0.0,0.0,48926.0,1,1,200.0,7,5.0,3,8,0.04292196378203818
7092,2,88.0,2,0.0,1,111,1,77,74,10,10.0,41,41,8,5508,,,,,,0.0,3.0,5.0,0.0,1.5,4142.287878498371,1200.0,0.0,1200.0,0.0,90059.0,5,5,100.0,10,8.0,3,1,0.026649196637759692
7093,1,39.0,5,217.0,1,111,2,0,22,2,2.0,0,31,2,551,,,,,,1.0,0.0,4.0,1.0,1.3,3501.317764903909,140.0,0.0,657.0,0.0,15694.0,0,1,90.0,8,7.0,2,2,0.050783739008538296
7094,2,80.0,2,0.0,6,111,4,75,75,9,9.0,71,31,1,5510,,,,,,0.0,2.0,6.0,0.0,1.5,2710.9196335192314,1600.0,0.0,0.0,0.0,54108.0,5,5,150.0,9,7.0,3,8,0.02957048865232498
7095,2,57.0,1,0.0,6,211,2,77,74,7,8.0,70,50,1,5512,,,750.0,,,0.0,2.0,5.0,0.0,1.5,1323.9793004184232,1440.0,0.0,0.0,0.0,40295.0,6,5,110.0,3,3.0,3,2,0.035736443727509615
