"","X","age_carte_grise","age_vehicule","agepr","cataeu","cs42pr","dip14pr","etat_veh_achat","ident_men","km_autre_carbu","km_diesel","km_essence","mloy_d","nactifs","nbphab","nenfants","npers","ocde10","pondmen","poste_coicop_722","prix_achat","revtot","situapr","stalog","tau","tuu","typmen","veh_tot","vp_deplacements_pro","vp_domicile_travail","rural","petite_ville","moyenne_ville","grande_ville","paris","aides_logement","nb_essence","nb_diesel","niveau_vie","niveau_vie_decile","niveau_vie_quintile","donation_class_1","donation_class_3","distance_autre_carbu","distance_diesel","distance_essence"
"10208",10207,6,11,50,221,12,50,0,9810,0,200,240,0,4,4,2,4,2.5,1215.15787625524,4056,NA,21480,1,2,1,3,4,2,0,1,0,1,0,0,0,0,1,1,8592,1,1,"1_0","1_0_0",0,17343,0
"10212",10211,11,18,44,111,52,60,0,9815,0,0,NA,115,1,5,1,3,2,3159.72279336032,0,NA,19102,1,3,9,7,4,1,0,0,0,0,0,1,0,1,1,0,9551,1,1,"1_1","1_0_1",NA,NA,NA
"10245",10244,14,14,86,111,86,41,0,9865,0,0,NA,0,0,4,0,1,1,1569.71019169601,0,NA,6140,6,4,10,8,1,1,0,0,0,0,0,0,1,0,1,0,6140,1,1,"1_0","1_0_0",NA,NA,NA
"10267",10266,4,11,46,211,56,71,0,9896,0,NA,0,105,1,4,1,2,1.3,3199.76914592363,1576,NA,10869,4,3,4,3,2,1,0,0,0,1,0,0,0,1,0,1,8360.76923076923,1,1,"1_1","1_0_1",0,17102,0
"10274",10273,NA,NA,20,111,84,41,NA,9903,NA,NA,NA,0,0,1,0,1,1,3742.41424205022,0,NA,2054,3,3,8,7,1,0,NA,NA,0,0,0,1,0,1,0,0,2054,1,1,"1_1","1_0_1",NA,NA,NA
"10279",10278,NA,NA,26,111,69,60,NA,9909,NA,NA,NA,85,1,3,1,2,1.3,3101.41575400722,0,NA,12080,4,3,8,7,2,0,NA,NA,0,0,0,1,0,1,0,0,9292.30769230769,1,1,"1_1","1_0_1",NA,NA,NA
"10297",10296,9,10,66,300,72,50,0,9930,0,0,NA,0,0,2,0,1,1,1603.0131693891,0,NA,7496,5,3,0,0,1,1,0,0,1,0,0,0,0,1,1,0,7496,1,1,"1_1","1_1_1",NA,NA,NA
"10305",10304,NA,NA,39,221,56,60,NA,9940,NA,NA,NA,0,2,5,3,4,2.3,1866.84981591943,0,NA,20809,4,3,1,2,2,0,NA,NA,0,1,0,0,0,1,0,0,9047.39130434783,1,1,"1_1","1_0_1",NA,NA,NA
"10329",10328,8,16,50,111,69,71,0,9978,0,99999,0,0,2,3,4,6,3.1,5192.86805413769,2080,NA,26936,1,3,5,4,4,1,0,1,0,0,1,0,0,1,0,1,8689.03225806452,1,1,"1_1","1_0_1",0,5000,0
"10331",10330,0,11,25,111,84,20,0,9980,0,NA,0,485,0,2,0,1,1,3592.55169087911,0,NA,5515,3,3,8,6,1,1,0,0,0,0,1,0,0,1,0,1,5515,1,1,"1_1","1_0_1",0,16428,0
