"","X","age_carte_grise","age_vehicule","agepr","cataeu","cs42pr","dip14pr","etat_veh_achat","ident_men","km_autre_carbu","km_diesel","km_essence","mloy_d","nactifs","nbphab","nenfants","npers","ocde10","pondmen","poste_07_2_2_1_1","prix_achat","revtot","situapr","stalog","tau","tuu","typmen","veh_tot","vp_deplacements_pro","vp_domicile_travail","rural","petite_ville","moyenne_ville","grande_ville","paris","aides_logement","nb_essence","nb_diesel","niveau_vie","niveau_vie_decile","niveau_vie_quintile","donation_class_1","donation_class_3","distance","distance_autre_carbu","distance_diesel","distance_essence"
"4538",4537,0,1,71,300,75,41,1,1998,0,0,0,0,0,6,0,2,1.5,1440.92633419,4504,20500,44444,5,1,0,0,3,2,0,0,1,0,0,0,0,0,0,2,29629.3333333,9,5,"9","9_1",21000,0,21000,0
"4542",4541,2,2,34,221,47,31,0,2001,0,56,0,353,1,4,0,1,1,6901.72750457,3013,0,34598,1,4,1,1,1,1,0,1,0,1,0,0,0,0,0,1,34598,9,5,"9","9_0",18572,0,18572,0
"4544",4543,3,10,65,111,74,70,0,2003,0,0,0,590,1,2,0,2,1.5,1834.41440891,0,0,44814,5,3,7,6,3,2,0,0,0,0,1,0,0,0,1,1,29876,9,5,"9","9_0",5000,0,5000,0
"4551",4550,13,13,46,112,43,20,0,2020,100,0,100,0,2,3,1,3,1.8,1787.43083464,1994,0,56807,1,2,10,4,4,2,0,1,0,0,1,0,0,0,1,0,31559.4444444,9,5,"9","9_0",7000,0,0,7000
"4553",4552,5,5,70,300,11,33,0,2022,0,0,0,0,1,4,0,2,1.5,3052.05733432,1971,0,50455,5,4,0,0,3,2,0,0,1,0,0,0,0,0,0,2,33636.6666667,9,5,"9","9_1",12480,0,12480,0
"4560",4559,12,12,61,120,68,50,0,2033,0,450,0,0,1,5,0,1,1,1569.74357523,2486,0,29320,5,2,0,1,1,1,0,1,0,1,0,0,0,0,0,1,29320,9,5,"9","9_0",4000,0,4000,0
"4566",4565,8,12,55,212,34,31,0,2044,0,0,40,0,1,8,0,2,1.5,1377.5295371,0,0,50840,1,1,2,0,3,3,0,0,1,0,0,0,0,0,1,2,33893.3333333,9,5,"9","9_1",3000,0,3000,0
"4569",4568,10,10,55,111,47,50,0,205,0,0,300,0,3,4,1,3,2,2377.78079195,7141,0,72209,1,1,10,8,4,2,0,1,0,0,0,0,1,0,2,0,36104.5,9,5,"9","9_0",40000,0,0,40000
"4572",4571,9,9,60,111,21,44,0,2052,0,0,0,0,1,3,0,1,1,3386.40746159,0,0,32740,1,2,8,7,1,1,0,0,0,0,0,1,0,0,1,0,32740,9,5,"9","9_0",27000,0,0,27000
"4579",4578,4,4,57,221,62,42,0,206,0,900,0,0,2,5,0,2,1.5,2666.13126803,1833,0,45572,1,1,1,1,3,2,0,1,0,1,0,0,0,0,0,2,30381.3333333,9,5,"9","9_0",13000,0,13000,0
