,age_carte_grise,age_vehicule,agepr,cataeu,cs42pr,dip14pr,etat_veh_achat,ident_men,km_autre_carbu,km_diesel,km_essence,mloy_d,nactifs,nbphab,nenfants,npers,ocde10,pondmen,poste_07_2_2_1_1,prix_achat,revtot,situapr,stalog,tau,tuu,typmen,veh_tot,vp_deplacements_pro,vp_domicile_travail,rural,petite_ville,moyenne_ville,grande_ville,paris,aides_logement,nb_essence,nb_diesel,niveau_vie,niveau_vie_decile,niveau_vie_quintile,donation_class_1,donation_class_3
75,5.0,7.0,48.0,111,37,31,0.0,10088,0.0,0.0,0.0,0.0,2.0,5.0,2.0,4.0,2.5,1860.8662096467842,2987.4,0.0,56280.0,1,1,5,4.0,4,1.0,0.0,0.0,0,0,1,0,0,0,0.0,1.0,22512.0,3,0,3_0,3_0
76,5.0,17.0,25.0,111,43,33,0.0,1009,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,6139.359698886959,0.0,0.0,43640.0,1,3,10,8.0,1,1.0,0.0,0.0,0,0,0,0,1,1,1.0,0.0,43640.0,5,0,5,5_0
77,4.0,9.0,46.0,111,54,41,0.0,10090,0.0,0.0,444.0,118.0,1.0,3.0,1.0,2.0,1.5,4240.0765552183,0.0,0.0,13728.0,4,3,9,7.0,2,1.0,1.0,1.0,0,0,0,1,0,1,1.0,0.0,9152.0,1,0,1_1,1_0
78,16.0,21.0,48.0,111,62,50,0.0,10091,0.0,50.0,150.0,0.0,1.0,1.0,0.0,1.0,1.0,1656.1597339509485,0.0,0.0,9039.0,4,3,6,5.0,1,3.0,0.0,1.0,0,0,1,0,0,1,2.0,1.0,9039.0,1,0,1_1,1_0
79,0.0,0.0,52.0,300,67,71,0.0,10092,0.0,0.0,0.0,0.0,1.0,4.0,0.0,2.0,1.5,1808.6940586899839,2327.0,0.0,25200.0,4,1,0,0.0,3,0.0,0.0,0.0,1,0,0,0,0,0,0.0,0.0,16800.0,2,0,2_0,2_1
80,0.0,19.0,47.0,112,65,50,0.0,10093,0.0,0.0,0.0,0.0,2.0,6.0,3.0,5.0,2.8,2304.5418211525275,0.0,0.0,50794.0,1,2,9,0.0,4,1.0,0.0,0.0,1,0,0,0,0,0,0.0,1.0,18140.714285714286,2,0,2_0,2_1
81,9.0,10.0,29.0,111,53,50,0.0,10094,0.0,0.0,0.0,600.0,2.0,4.0,0.0,2.0,1.5,2405.0808898276687,2759.12,0.0,39453.0,1,3,8,6.0,3,2.0,0.0,0.0,0,0,1,0,0,0,0.0,2.0,26302.0,4,0,4_0,4_0
82,6.0,6.0,51.0,111,85,71,0.0,10095,0.0,0.0,0.0,0.0,2.0,6.0,2.0,3.0,2.0,1577.029406722562,0.0,0.0,16330.0,6,4,8,7.0,2,1.0,0.0,0.0,0,0,0,1,0,0,0.0,1.0,8165.0,1,0,1_0,1_0
83,10.0,11.0,32.0,111,85,33,0.0,10096,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,1.6,666.1169014360638,0.0,0.0,14400.0,6,3,6,5.0,2,2.0,0.0,0.0,0,0,1,0,0,0,2.0,0.0,9000.0,1,0,1_0,1_0
84,6.0,10.0,38.0,111,64,50,0.0,10097,0.0,0.0,0.0,395.0,2.0,3.0,2.0,4.0,2.3,1007.0265695100264,1560.0,0.0,48348.0,1,3,7,6.0,4,1.0,0.0,0.0,0,0,1,0,0,0,1.0,0.0,21020.869565217392,3,0,3_0,3_0
85,1.0,11.0,86.0,111,77,50,0.0,10098,0.0,16.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,4473.762496813156,0.0,0.0,17727.0,5,1,9,7.0,1,2.0,0.0,1.0,0,0,0,1,0,0,0.0,2.0,17727.0,2,0,2_0,2_0
