,Unnamed: 0,X,age_carte_grise,age_vehicule,agepr,cataeu,cs42pr,dip14pr,etat_veh_achat,ident_men,km_autre_carbu,km_diesel,km_essence,mloy_d,nactifs,nbphab,nenfants,npers,ocde10,pondmen,poste_07_2_2_1_1,prix_achat,revtot,situapr,stalog,tau,tuu,typmen,veh_tot,vp_deplacements_pro,vp_domicile_travail,rural,petite_ville,moyenne_ville,grande_ville,paris,aides_logement,nb_essence,nb_diesel,niveau_vie,niveau_vie_decile,niveau_vie_quintile,donation_class_1,donation_class_3,distance,distance_autre_carbu,distance_diesel,distance_essence,age_carte_grise.1,age_vehicule.1,distance_routiere_hebdomadaire_teg,duree_moyenne_trajet_aller_retour_teg,mode_principal_deplacement_teg,vp_deplacements_pro.1,vp_domicile_travail.1,depenses_carburants_corrigees_entd,depenses_diesel_corrigees_entd,depenses_essence_corrigees_entd
49,427,426,9,9,62,111,56,71,0,10541,0,0,0,0,1,2,0,1,1.0,2958.031345,0.0,0,10726.0,1,4,9,7,1,1,0,0,0,0,0,1,0,0,1,0,10726.0,1,1,1_0,1_0,7000,0,0,7000,1,10,0.0,0.0,0.0,0,0,407.6810546877722,0.0,407.6810546877722
50,431,430,0,0,38,111,67,50,0,10545,0,0,0,450,1,6,5,7,3.4,557.00129891,2600.0,0,35894.0,1,3,9,7,4,0,0,0,0,0,0,1,0,0,0,0,10557.0588235294,1,1,1_0,1_0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
51,444,443,2,9,60,400,31,10,0,1056,0,1100,0,0,1,4,1,2,1.3,3275.4715048,416.0,0,1580.0,4,4,0,0,2,2,1,1,1,0,0,0,0,0,0,2,1215.38461538462,1,1,1_0,1_1,10000,0,10000,0,7,10,0.0,0.0,0.0,0,0,1111.61265375787,1111.61265375787,0.0
52,449,448,1,1,27,111,55,71,0,10567,0,0,99999,0,1,4,2,3,1.6,1720.967989,0.0,0,14348.0,4,3,8,7,2,1,0,1,0,0,0,1,0,0,1,0,8967.5,1,1,1_0,1_0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
53,456,455,1,1,44,120,56,71,0,10577,0,0,0,0,1,4,3,6,2.9,3580.8158259,800.28,0,22520.0,4,1,0,0,5,3,0,0,1,0,0,0,0,0,3,0,7765.51724137931,1,1,1_0,1_1,7067,0,0,7067,1,9,0.0,0.0,0.0,0,0,785.5766624106866,0.0,785.5766624106866
54,458,457,10,22,35,300,64,44,0,1058,0,0,0,0,1,2,0,1,1.0,3433.4825231,0.0,0,8490.0,4,3,0,0,1,1,0,0,1,0,0,0,0,0,1,0,8490.0,1,1,1_0,1_1,6500,0,0,6500,2,21,0.0,0.0,0.0,0,1,722.5482249426154,0.0,722.5482249426154
55,472,471,9,9,35,111,63,71,0,10599,0,0,0,200,1,3,3,5,2.4,3227.7835575,0.0,0,17901.0,4,3,9,7,4,2,0,0,0,0,0,1,0,0,1,1,7458.75,1,1,1_0,1_0,25200,0,200,25000,10,10,0.0,0.0,0.0,0,1,1467.6517968759797,11.648030133936349,1456.0037667420434
56,473,472,3,5,44,111,62,50,0,106,0,1000,0,0,2,4,4,6,2.9,2711.8576828,3148.6,0,19470.0,1,3,10,8,4,2,0,1,0,0,0,0,1,0,0,2,6713.79310344828,1,1,1_0,1_0,4000,0,4000,0,2,6,0.0,3.2,0.0,0,1,232.96060267872696,232.96060267872696,0.0
57,480,479,4,21,45,111,67,71,0,1061,0,0,0,0,1,2,0,1,1.0,2806.1607873,0.0,0,10320.0,4,3,8,7,1,1,0,0,0,0,0,1,0,0,0,1,10320.0,1,1,1_0,1_0,2000,0,2000,0,8,19,0.0,0.0,0.0,0,0,116.48030133936348,116.48030133936348,0.0
58,497,496,0,0,24,111,52,50,0,10633,0,0,0,0,1,1,0,1,1.0,3996.578342,1948.96,0,2498.0,4,3,7,5,1,0,0,0,0,0,1,0,0,0,0,0,2498.0,1,1,1_0,1_0,0,0,0,0,0,0,0.0,40.0,1.1,0,0,0.0,0.0,0.0
59,502,501,12,12,30,111,63,71,0,10639,0,199998,0,0,1,1,0,1,1.0,6455.3405401,0.0,0,0.0,4,3,8,6,1,3,0,1,0,0,1,0,0,0,0,3,0.0,1,1,1_0,1_0,8000,0,8000,0,7,11,0.0,0.0,0.0,1,0,465.9212053574539,465.9212053574539,0.0
60,503,502,4,4,20,111,84,41,0,10640,0,60,0,203,0,1,0,1,1.0,3262.4387122,0.0,0,9344.0,3,3,9,7,1,3,1,1,0,0,0,1,0,0,0,3,9344.0,1,1,1_0,1_0,0,0,0,0,4,0,0.0,0.0,0.0,0,1,0.0,0.0,0.0
61,521,520,4,7,44,112,54,43,0,10661,0,0,80,0,1,4,2,4,2.5,3520.4146902,3120.0,0,24618.0,1,1,9,0,4,3,0,1,1,0,0,0,0,0,1,2,9847.2,1,1,1_0,1_1,18059,0,18059,0,0,8,0.0,0.0,0.0,1,0,2007.4612914213374,2007.4612914213374,0.0
62,539,538,3,10,47,112,54,43,0,10682,0,0,70,0,1,5,3,4,2.5,1802.1891181,0.0,0,15971.0,4,1,9,1,2,2,0,0,0,1,0,0,0,0,1,1,6388.4,1,1,1_0,1_0,25200,0,200,25000,10,10,0.0,0.0,0.0,0,1,1467.6517968759797,11.648030133936349,1456.0037667420434
63,546,545,11,11,53,111,68,50,0,10689,0,0,0,0,1,1,0,1,1.0,3736.3377733,1040.52,0,10605.0,4,3,6,4,1,1,0,0,0,0,1,0,0,0,1,0,10605.0,1,1,1_0,1_0,5000,0,0,5000,4,11,0.0,0.0,0.0,0,1,291.2007533484087,0.0,291.2007533484087
