"","X","ident_men","pondmen","agepr","cataeu","chomage","cs42pr","nactifs","nactoccup","npers","ocde10","prest_precarite_hand","prest_precarite_rsa","prest_precarite_vieil","retraites","rev_valeurs_mobilieres_bruts","rev_etranger","rev_disponible","rsa_act","salaires","stalog","tau","tuu","typmen","donation_class_1","revdecm"
"6004",6003,9152,2228.99971801243,49,111,0,55,2,2,4,2.5,0,0,0,0,0,0,39384.2,0,41670,2,10,8,4,2,36340
"6013",6012,9165,1213.5406670841,61,112,0,37,2,2,5,3,0,0,0,0,27,0,55167.85,100,55370,1,7,0,4,2,62660
"6015",6014,9167,3161.65967676011,48,112,460,67,2,2,3,2,0,0,0,0,0,0,27702.85,0,29290,3,8,0,4,2,31780
"6018",6017,9172,3076.03150310026,47,111,2380,38,2,1,4,2.1,0,0,0,0,0,0,42842.65,0,38170,1,9,7,4,2,49900
"6020",6019,9176,1580.72458408232,52,111,0,33,2,2,3,2,0,0,0,0,0,0,70963.9,0,78170,3,6,5,4,2,92330
"6021",6020,9178,2363.5434166542,30,112,6870,38,2,2,3,1.8,0,0,0,0,0,0,60334.25,0,51500,2,7,0,4,2,70960
"6025",6024,9185,2954.37330216848,35,112,0,37,2,2,2,1.5,0,0,0,0,0,0,37100.25,0,40010,2,10,3,3,2,39810
"6026",6025,9186,1202.38401970529,31,212,0,64,2,2,4,2.1,0,0,0,0,0,0,45098.15,0,38680,2,2,0,4,2,53310
"6027",6026,9187,1628.34142223125,48,112,0,52,2,2,4,2.5,0,0,0,0,0,0,50949.35,0,49870,2,10,0,4,2,61300
"6029",6028,9191,1299.38567460757,49,112,0,63,2,2,3,2,0,0,0,0,0,0,40738.55,0,40540,1,9,0,4,2,48940
"6030",6029,9192,2441.60140854874,50,300,1080,12,2,2,4,2.3,0,0,0,0,0,0,19842.15,0,11490,1,0,0,4,2,9270
"6031",6030,9193,1685.56463350692,29,120,0,33,2,2,4,2.1,0,0,0,0,0,0,45154.6,0,37470,2,0,0,4,2,50480
"6035",6034,9198,2186.86005165354,45,300,0,63,2,2,4,2.3,0,0,0,0,0,0,40989.55,0,39600,1,0,0,4,2,44940
"6037",6036,9200,1996.69833832161,54,111,2640,43,2,1,2,1.5,0,0,0,0,0,0,35378.45,0,29860,3,6,5,2,2,35880
"6039",6038,9205,1938.01857770528,26,112,0,63,2,2,3,1.8,0,0,0,0,0,0,32577.6,0,24440,3,7,1,4,2,34810
"6040",6039,9206,2948.97392335122,29,120,0,47,2,2,2,1.5,0,0,0,0,0,0,41616.25,0,42370,3,0,0,3,2,44250
"6042",6041,9209,2196.92681628589,47,111,7540,52,2,1,2,1.5,0,750,0,0,0,0,26370,0,21040,3,8,6,3,2,12650
"6052",6051,9228,2700.00619658903,53,111,55370,37,2,1,2,1.5,0,0,0,0,38,0,90267.2,0,0,1,8,7,3,2,128360
"6062",6061,9252,3622.05820863044,56,120,0,63,2,2,3,2,0,0,0,0,0,0,22345.65,0,21130,3,0,3,5,2,10320
"6063",6062,9253,2991.62335730741,49,111,3890,42,2,2,3,2,0,3390,0,0,0,0,30830.35,200,24480,3,10,8,2,2,34390
"6068",6067,9261,1798.51241756515,49,111,0,33,2,2,4,2.5,0,0,0,0,0,0,79029.3,0,79100,1,9,7,4,2,67460
"6069",6068,9263,1051.40711523337,49,112,0,62,2,2,4,2.5,0,0,0,0,0,0,42818.7,0,39690,1,7,0,4,2,48880
"6078",6077,9277,4427.91805997395,53,212,0,77,2,1,3,2,0,0,0,23990,0,0,41358.15,0,17430,1,3,0,4,2,37790
