,ident_men,pondmen,agepr,cataeu,chomage,cs42pr,nactifs,nactoccup,npers,ocde10,prest_precarite_hand,prest_precarite_rsa,prest_precarite_vieil,retraites,rev_valeurs_mobilieres_bruts,rev_etranger,rev_disponible,ppa,salaires,stalog,tau,tuu,typmen,donation_class_1
7640,10714,3608.367724060332,26.0,111,0.0,54,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16971.4,1140.0,14030.0,3,7,5.0,1,1.0
7641,10717,652.9913679143556,39.0,111,0.0,46,1.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,21658.9,720.0,0.0,3,9,7.0,2,1.0
7642,10719,2510.3443218403218,56.0,400,0.0,22,2.0,2.0,2.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,6713.3,0.0,7660.0,5,0,0.0,3,2.0
7643,10720,2619.8979276002383,42.0,221,0.0,47,1.0,1.0,2.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,27126.1,0.0,27680.0,2,1,2.0,3,1.0
7644,10722,3691.362711336551,59.0,111,0.0,72,0.0,0.0,1.0,1.0,0.0,0.0,0.0,8120.0,0.0,0.0,9970.0,0.0,0.0,3,8,7.0,1,0.0
7645,10723,3370.907086673958,44.0,120,11700.0,64,3,2.0,5.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,39664.6,0.0,22380.0,3,0,0.0,5,3.0
7646,10724,2074.039508879834,78.0,111,0.0,77,0.0,0.0,2.0,1.5,0.0,0.0,0.0,20930.0,0.0,0.0,20877.2,0.0,0.0,1,6,5.0,3,0.0
7647,10725,2373.963707061008,31.0,112,0.0,64,2.0,2.0,4.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,43799.1,0.0,34160.0,3,7,0.0,4,2.0
7648,10726,2313.616339225476,52.0,111,1260.0,62,2.0,2.0,2.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,66916.1,0.0,67650.0,2,6,5.0,3,2.0
7649,10728,1682.3682676390256,56.0,111,0.0,43,2.0,2.0,2.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,51290.65,0.0,56630.0,1,9,7.0,3,2.0
7650,10729,3326.1866152351326,46.0,111,0.0,48,2.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,41.0,0.0,65013.4,0.0,68750.0,2,8,6.0,4,2.0
7651,10733,700.5331918174446,64.0,111,0.0,77,0.0,0.0,2.0,1.3,0.0,0.0,0.0,18040.0,0.0,0.0,27879.0,0.0,0.0,1,9,7.0,2,0.0
