,ident_men,ocde10,vag,typmen,revtot,fumeur,p1,p10,p11,p12,p2,p3,p4,p5,p6,p7,p8,p9,depenses_reelles,temps,mois,mois2,w1,w10,w11,w12,w2,w3,w4,w5,w6,w7,w8,w9
46535,3323.0,1.5,19.0,3.0,11000.0,0.0,114.718426557,115.3,121.3,114.72683885,106.646317439,99.3,123.309184461,111.8,96.6,119.1,87.9,110.538850355,16055.2766461,91.0,7.0,49.0,0.206325223127,0.0,0.0,0.268586895353,0.0948035981088,0.0373254565908,0.33644664054,0.0131381775607,0.0240447053734,0.0,0.00461837313187,0.0147109302137
46547,3324.0,1.5,19.0,3.0,29060.0,0.0,113.707375352,115.3,121.3,109.459521955,108.9,94.1242424242,122.069311631,98.8876570949,103.7,143.8,87.9,112.358490573,22362.7832051,91.0,7.0,49.0,0.0325264749101,0.0,0.0,0.128674127987,0.00585980512549,0.0780285158124,0.549780867825,0.139644838333,0.0,0.0451490611379,0.0117026249435,0.00863368392518
46559,3325.0,1.5,19.0,3.0,25448.0,0.0,114.599610762,115.3,121.3,115.027707168,112.104287133,94.9320987654,111.199552142,91.9927507877,105.718673675,119.1,87.9,82.9968500394,23866.68935,91.0,7.0,49.0,0.140281062176,0.0,0.0,0.0677929663794,0.0265697149724,0.0119637365063,0.574657681527,0.0309540436228,0.0935827510563,0.0,0.0104169496518,0.0437810941097
46571,3326.0,1.8,19.0,2.0,55906.0,0.0,120.953509193,115.3,136.171400394,112.441818182,143.5,95.5969044609,128.591792262,124.640304656,96.6,132.371774196,87.9,124.880802292,40962.8012404,91.0,7.0,49.0,0.109606822462,0.130428683022,0.103121310875,0.0644261668808,0.0,0.0501949219341,0.329810004636,0.0899255617209,0.00381240594863,0.0507657783137,0.0159720073223,0.0519363368853
46583,3327.0,1.5,19.0,3.0,25960.0,0.0,115.680886274,115.3,121.3,117.084288747,107.987160539,98.0412698412,132.330410184,89.0922342753,96.6,119.1,87.9,101.318796882,17401.9812417,91.0,7.0,49.0,0.181660793792,0.0,0.0,0.089054252005,0.0355449621576,0.0127619151895,0.621058988369,0.0365538016021,0.00807667486005,0.0,0.0080206427351,0.00726796928755
46595,3328.0,2.5,19.0,4.0,44790.0,0.0,113.834461699,115.3,136.178822314,110.257661444,143.5,93.2,121.715991256,94.8129707529,103.7,129.19266055,87.9,117.249441647,18500.7154135,91.0,7.0,49.0,0.071375386112,0.0,0.0784674345317,0.0698134191417,0.0,0.0213023385138,0.604480372297,0.019019737661,0.0,0.0854153593852,0.00636550892286,0.0437604434339
46607,3329.0,1.0,19.0,1.0,11261.0,0.0,115.65723444,115.3,121.3,111.685323966,143.5,93.2,107.893460999,105.244265377,103.7,119.1,87.9,107.227833002,20821.1086503,91.0,7.0,49.0,0.0170866825598,0.0,0.0,0.0759117487655,0.0,0.00325912399917,0.428700036375,0.411343230248,0.0,0.0,0.0106837622625,0.0530154157894
46619,3336.0,1.3,19.0,2.0,14198.0,0.0,114.384882951,115.3,113.1,113.996564324,102.8,94.3540540539,125.815766923,111.8,103.7,108.556840077,87.9,103.120437956,24713.983535,91.0,7.0,49.0,0.0935751307267,0.0,0.0245061911766,0.0664421684288,0.0347118273629,0.06089489398,0.454304155134,0.0128734392687,0.0,0.209103463878,0.0201942979146,0.0233944321315
46631,3337.0,1.5,19.0,3.0,18946.0,0.0,114.072197623,115.3,117.607307258,109.30467116,143.5,98.9052770449,112.114781352,111.8,105.486345053,115.510548783,87.9000000002,111.35783628,33196.5065591,91.0,7.0,49.0,0.0916367000517,0.0,0.0794424443922,0.0876752843449,0.0,0.0134152747951,0.231668091292,0.0122759686905,0.0345202642145,0.38061149839,0.0378843952928,0.0308700785351
46643,3338.0,2.5,19.0,4.0,34498.0,0.0,113.5198541,115.3,114.010690692,112.19182443,108.9,93.4537070613,123.989508393,105.147976175,103.7,143.073362445,87.9,107.281626799,17290.6085896,91.0,7.0,49.0,0.162207636468,0.0,0.039997657185,0.08239598619,0.00781196301666,0.0202937057144,0.482622667982,0.0220490710684,0.0,0.109719836359,0.0400588159308,0.0328426600862
