v1,ident_men,w1,w2,w3,w4,p1,p2,p3,p4,depenses_par_uc,depenses_tot,typmen,dip14pr,agepr,situapr,situacj,nenfants,nactifs,vag,veh_diesel,veh_essence,elect_only,veh_tot,part_veh_essence,rural,villes_petites,villes_moyennes,villes_grandes,agglo_paris,proprietaire,accedant,locataire,sous_loc,loge_gratuit,vag_23,vag_24,vag_25,vag_26,vag_27,vag_28,mu_1,mu_2,mu_3,mu_4,ce_1_1,ce_1_2,ce_1_3,ce_1_4,ce_2_1,ce_2_2,ce_2_3,ce_2_4,ce_3_1,ce_3_2,ce_3_3,ce_3_4,ce_4_1,ce_4_2,ce_4_3,ce_4_4
990,6095,.1216787,.0243126,.1442837,.709725,160.4695,105.77,126.5291,124.9193,23033.33,34550,3,10,28,1,1,0,2,24,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1.128685,-.1210142,1.006137,1.015092,-1.198496,.0642852,-.1238692,.1293944,.3984932,1.319078,.4508937,-2.047451,-.0865203,.0440162,.0380771,-1.00171,.0379693,-.0994128,-.2052453,-.7484031
991,6097,0,.0625605,.2210701,.7163695,160.4695,205.0227,123.577,120.0562,16008.5,32017,4,71,52,1,1,1,3,24,3,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,,.5643457,1.004005,1.014952,,,,,.1569374,-.0816285,.178016,-.8176705,-.0564874,.0285703,-.3225139,-.6535741,.037546,-.0990783,-.2034373,-.7499824
992,6104,.0814299,.013087,.0716091,.833874,160.4695,136.2931,122.8352,126.5264,29800.67,44701,3,70,55,1,5,0,1,24,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1.192291,-1.08259,1.012365,1.012845,-1.297155,.0935682,-.1841981,.1954934,.7462398,3.335306,.8279476,-3.826904,-.174363,.0885271,1.091656,-2.018185,.0322798,-.0847785,-.174628,-.7857183
993,6106,.0092972,.0383809,.1025555,.8497664,160.4695,110.3924,124.8473,125.8601,16779.2,41948,4,50,49,1,1,2,3,24,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2.684188,.2898866,1.008633,1.012605,-3.599073,.8383819,-1.616419,1.692922,.2529474,.4702826,.2836242,-1.296741,-.1217302,.0619105,.4604773,-1.409291,.0317028,-.0830518,-.1713854,-.7898703
994,6109,.1605829,.044842,.179772,.6148031,160.4695,108.356,124.4839,124.2119,19252.78,34655,4,31,31,1,1,1,2,24,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1.097509,.3922049,1.004925,1.017422,-1.150431,.0485518,-.0937161,.0980862,.216208,.2583577,.2435724,-1.110343,-.0694417,.0353191,-.16684,-.8039625,.0438272,-.11479,-.2369083,-.7095509
995,6112,0,.0418105,.0663201,.8918695,160.4695,122.6532,126.8689,119.9333,22889,22889,1,31,32,1,0,0,1,24,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,,.3481356,1.013351,1.01201,,,,,.2317813,.3557543,.2668909,-1.202562,-.1882317,.0956123,1.258308,-2.17904,.0302138,-.079243,-.1634151,-.7995654
996,6116,0,.0459518,.0827808,.8712675,160.4695,105.77,124.1805,122.3558,23677,23677,1,20,52,1,0,0,1,24,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,,.4068833,1.010696,1.012294,,,,,.2106391,.2277917,.2386663,-1.08398,-.1507979,.0767043,.8093264,-1.745929,.0309335,-.080997,-.1671927,-.7950374
997,6129,0,.0017701,.1069401,.8912898,172.8052,105.77,126.7338,124.4132,16383,16383,1,41,21,3,0,0,0,24,0,0,1,0,.5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,,-14.39706,1.00828,1.012017,,,,,5.44456,30.86651,6.191536,-28.10555,-.1167177,.0593791,.4005748,-1.351516,.030257,-.0791724,-.1634336,-.7996684
998,6130,0,.0583069,.1886078,.7530853,172.8052,170.378,128.6021,129.8665,29224.67,43837,3,50,62,5,4,0,1,24,1,1,0,2,.5,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,,.5325638,1.004694,1.014223,,,,,.1676261,-.0215907,.1875307,-.8661298,-.0662021,.0335575,-.2058734,-.7661765,.0357386,-.0940361,-.1934132,-.7625122
999,6132,0,.0533704,.079344,.8672855,160.4695,204.476,122.0151,120.5554,14721.91,30916,4,43,38,1,1,2,2,24,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,,.4893284,1.011159,1.01235,,,,,.1840887,.0762443,.2073819,-.9570432,-.1573892,.0796089,.8876547,-1.821034,.0310095,-.0818313,-.1680061,-.7935223
