,ident_men,w1,w2,w3,w4,p1,p2,p3,p4,depenses_par_uc,depenses_tot,typmen,dip14pr,agepr,situapr,situacj,nenfants,nactifs,vag,veh_diesel,veh_essence,elect_only,veh_tot,part_veh_essence,year,rural,villes_petites,villes_moyennes,villes_grandes,agglo_paris,proprietaire,accedant,locataire,sous_loc,loge_gratuit,vag_17,vag_18,vag_19,vag_20,vag_21,vag_22
77,11132701000,0.031938372574063546,0.007406499975810145,0.04171525939340094,0.9189398680567253,146.110502675,96.2,114.358415018,117.212355093,30860.923421042306,64807.93918418884,4,20,41,1,1,2,2,18,0.0,2.0,1,2.0,1.0,2005,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
78,11133501000,0.001387288112596972,0.054142861736776224,0.1547582402313384,0.7897116099192883,127.793168322,106.651027811,118.435067923,107.430922682,30548.810072898865,61097.62014579773,2,31,56,1,0,2,1,18,1.0,0.0,0,1.0,0.0,2005,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
79,11133901000,0.058204959430701975,0.035785477237466064,0.13862222672009467,0.7673873366117373,146.110502675,109.6,115.164486408,112.692488241,27184.212007141112,67960.53001785278,4,20,47,1,1,2,2,18,0.0,2.0,0,2.0,1.0,2005,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
80,11134001000,0.0,0.07555297581505611,0.2054333397697303,0.7190136844152136,136.951835499,96.2,114.616339047,113.778133144,7941.447620391846,16677.040002822876,4,71,33,1,4,2,2,18,0.0,0.0,1,0.0,0.5,2005,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
81,11134101000,0.047291826180480334,0.01629912418433472,0.07284259686923768,0.8635664527659472,141.531169087,107.56969697,116.011118288,115.073643188,40492.97327486674,60739.45991230011,3,20,60,1,1,0,2,18,1.0,3.0,0,4.0,0.75,2005,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
82,11134201000,0.0,0.00526415040809098,0.1443457410592445,0.8503901085326645,136.951835499,96.2,115.527347713,110.360739241,30154.913537979126,45232.37030696869,3,31,73,5,5,0,0,18,1.0,1.0,1,2.0,0.5,2005,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
83,11134301000,0.054032146124062444,0.01847670407412371,0.18794935113093295,0.7395417986708809,146.110502675,108.509310203,117.793279162,108.941276354,22732.45415210724,54557.88996505737,4,20,44,1,6,3,1,18,0.0,2.0,0,2.0,1.0,2005,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
84,11134701000,0.06227845118980166,0.040769062198767074,0.24527558764275056,0.6516768989686808,127.793168322,97.7764705882,115.302107743,115.693332524,12509.485685825348,35026.559920310974,4,60,52,1,6,3,1,18,2.0,0.0,0,2.0,0.0,2005,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
85,11154901000,0.05243846940366687,0.030454649538283453,0.13543807782792372,0.781668803230126,146.110502675,96.2,116.713737051,112.180778856,19069.96926821195,24790.960048675537,2,31,45,1,0,1,1,18,0.0,1.0,1,1.0,1.0,2005,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
86,11155001000,0.0,0.0227553809415645,0.07138118710291771,0.9058634319555178,136.951835499,96.2,115.395410934,116.226979273,15556.759999275208,15556.759999275208,1,71,75,5,0,0,0,18,0.0,0.0,1,0.0,0.5,2005,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
