,ident_men,w1,w2,w3,w4,p1,p2,p3,p4,depenses_par_uc,depenses_tot,typmen,dip14pr,agepr,situapr,situacj,nenfants,nactifs,vag,veh_diesel,veh_essence,elect_only,veh_tot,part_veh_essence,rural,villes_petites,villes_moyennes,villes_grandes,agglo_paris,proprietaire,accedant,locataire,sous_loc,loge_gratuit,vag_9,vag_10,vag_11,vag_12,vag_13,vag_14,vag_15,vag_16
73,76,0.02095318520082335,0.03858130574761176,0.0678207631815063,0.8726447458700586,140.625957518,92.9,103.476498054,101.272595863,14574.61591920911,18947,2,41,35,1,0,1,1,9,0,1,1,1,1.0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
74,77,0.0,0.031533581390368604,0.1413122038707605,0.8271542147388709,101.955386339,92.9,103.763875734,102.037679612,24904.666666666668,37357,3,70,48,1,6,0,1,9,2,0,1,2,0.0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
75,78,0.05260562846089661,0.01733292877190321,0.08306151862246833,0.8469999241447318,121.290671929,92.9,103.380136986,102.415229267,17577.333333333332,26366,5,41,31,1,0,0,2,9,0,0,1,0,0.5,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
76,79,0.0,0.08519728575018849,0.1903046549942755,0.724498059255536,121.290671929,92.9,102.949669846,101.514203122,9182.307467771005,35811,4,71,56,1,6,6,1,9,0,0,1,0,0.5,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
77,80,0.0,0.07656752411575563,0.14060825294748125,0.7828242229367631,121.290671929,92.9,103.775607432,101.142734896,14928.0,14928,1,50,66,5,0,0,0,9,0,0,1,0,0.5,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
78,81,0.0,0.023692083771326918,0.17110050942023125,0.8052074068084418,121.290671929,92.9,102.086011342,102.350220928,12367.0,12367,1,71,33,1,0,0,1,9,0,0,1,0,0.5,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
79,82,0.0,0.01926721415034744,0.23020635923352284,0.7505264266161297,121.290671929,92.9,102.637823005,102.325769797,7914.99968548617,18996,4,50,35,4,6,3,0,9,0,0,1,0,0.5,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
80,83,0.0,0.014112112896903175,0.23629949039592316,0.7495883967071737,121.290671929,92.9,104.459721301,101.777397762,12755.0,12755,1,70,67,5,0,0,0,9,0,0,1,0,0.5,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
81,84,0.0,0.02043139604553625,0.18693828639904134,0.7926303175554225,121.290671929,92.9,106.972852564,101.693453776,11126.666666666666,16690,3,71,67,5,5,0,0,9,0,0,1,0,0.5,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
82,86,0.0,0.15945975383945105,0.2806883781723124,0.5598518679882366,121.290671929,92.9,102.93395421,100.609747082,9181.0,9181,1,50,100,5,0,0,0,9,0,0,1,0,0.5,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
83,87,0.07829343755088748,0.021299462628236444,0.106041361341801,0.7943657384790751,140.625957518,96.4611620795,104.071898034,101.36677463,14621.429235432453,30705,4,50,38,1,1,2,2,9,0,1,0,1,1.0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
84,88,0.021050393365936636,0.11349138847544121,0.1090793110780353,0.7563789070805869,140.625957518,138.560749415,105.973538012,101.900674678,18812.0,18812,1,70,62,5,0,0,0,9,0,1,0,1,1.0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
85,89,0.02077104642014162,0.1081563073695253,0.17062680304222397,0.7004458431681091,101.955386339,96.6896702231,103.544820166,101.596248315,19065.0,19065,1,70,66,5,0,0,0,9,1,0,0,1,0.0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
86,90,0.0,0.1594506030816426,0.12528759673708428,0.715261800181273,121.290671929,92.9,103.094657763,100.043474023,7968.333544422085,14343,4,50,41,1,6,1,1,9,0,0,1,0,0.5,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
87,91,0.0,0.03965776390334143,0.15221412880101745,0.8081281072956411,140.625957518,92.9,103.333953665,102.072272695,13306.154334220679,17298,2,50,48,1,0,1,1,9,0,1,1,1,1.0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
88,92,0.0,0.04255947110560179,0.31772032347559176,0.6397202054188065,121.290671929,92.9,103.547607989,101.450832757,13552.8,33882,4,70,57,1,1,2,3,9,1,1,1,2,0.5,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
89,93,0.03493434449827962,0.03563654237764202,0.15381644547433468,0.7756126676497437,101.955386339,92.9,104.090572929,100.991254357,11867.499528427938,28482,4,31,31,1,6,3,1,9,1,0,1,1,0.0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
90,94,0.04510043373899861,0.030109066408388428,0.21581673474544152,0.7089737651071715,140.625957518,92.9,102.291160976,101.337627703,15831.333333333334,23747,3,50,66,5,5,0,0,9,0,1,1,1,1.0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
91,95,0.00871535097379102,0.02388069093540572,0.2920743793852059,0.6753295787055973,121.290671929,92.9,102.468523107,101.092913716,15134.762592077826,31783,4,31,43,1,4,2,1,9,1,1,1,2,0.5,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
92,96,0.0,0.06457304163726182,0.0050576334980004705,0.9303693248647377,121.290671929,92.9,103.0,102.114740834,8502.0,8502,1,71,53,4,0,0,0,9,0,0,1,0,0.5,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
93,97,0.045292677498330734,0.02207137027969434,0.1261963053638994,0.8064396468580756,101.955386339,92.9,102.689623751,101.697548298,14976.667063412853,26958,4,71,36,1,1,1,2,9,1,0,1,1,0.0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
94,98,0.031205673758865248,0.07927501970055162,0.017100078802206462,0.8724192277383767,140.625957518,92.9,104.45437788,101.213241803,9761.538819589572,12690,2,70,45,1,0,1,1,9,0,1,1,1,1.0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
95,99,0.021696252465483234,0.059062020600482136,0.10448170063554679,0.8147600262984879,101.955386339,92.9,103.25972732,100.072927174,9126.0,18252,2,50,41,1,0,2,2,9,1,0,1,1,0.0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
