v1,ident_men,w1,w2,w3,w4,p1,p2,p3,p4,depenses_par_uc,depenses_tot,typmen,dip14pr,agepr,situapr,situacj,nenfants,nactifs,vag,veh_diesel,veh_essence,elect_only,veh_tot,part_veh_essence,year,rural,villes_petites,villes_moyennes,villes_grandes,agglo_paris,proprietaire,accedant,locataire,sous_loc,loge_gratuit,vag_9,vag_10,vag_11,vag_12,vag_13,vag_14,vag_15,vag_16,elas_exp_1,elas_exp_2,elas_exp_3,elas_exp_4,elas_price_1_1,elas_price_1_2,elas_price_1_3,elas_price_1_4,elas_price_2_1,elas_price_2_2,elas_price_2_3,elas_price_2_4,elas_price_3_1,elas_price_3_2,elas_price_3_3,elas_price_3_4,elas_price_4_1,elas_price_4_2,elas_price_4_3,elas_price_4_4
4912,590,,.010642,.231202,.7581559,110.7094,92.9,105.0797,101.6363,10918.1,22928,4,71,35,1,1,2,2,13,1,0,1,1,0,2000,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,,.5706986,.0025045,1.296681,,,,,-.2689994,10.24208,-2.277606,-8.266583,.0194068,-.1417793,1.163582,-1.043553,-.0411541,-.1112644,-.6323792,-.5119184
4913,591,,.0299139,.0495696,.9205165,132.6439,92.9,104.3,101.9524,13940,13940,1,31,49,1,0,0,1,13,0,1,1,1,1,2000,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,,.7796489,-3.582036,1.242656,,,,,-.0927421,2.996123,-.8449309,-2.838358,.1130596,-.661082,9.095994,-4.964601,-.035143,-.0915557,-.5200793,-.5959287
4914,592,,.0117286,.1539565,.834315,121.6767,92.9,104.4225,100.5979,13016.67,19525,3,30,25,1,1,0,2,13,0,0,1,0,.5,2000,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,,.6285731,-.6108928,1.290652,,,,,-.2439025,9.202563,-2.034349,-7.553413,.0374089,-.2173643,2.182598,-1.391407,-.0388906,-.1002994,-.5630473,-.5884591
4915,594,,.0144499,.2256158,.7599343,121.6767,92.9,104.7918,102.2957,8120,12180,3,71,55,1,1,0,2,13,0,0,1,0,.5,2000,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,,.4134644,.0915261,1.272684,,,,,-.1897954,7.266656,-1.804608,-5.686096,.0195062,-.1408741,1.263121,-1.233073,-.041211,-.1118359,-.6398061,-.4798746
4916,595,,.0110247,.0673088,.9216665,121.6767,92.9,102.5683,102.2771,8617,8617,1,71,64,5,0,0,0,13,0,0,1,0,.5,2000,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,,.1157203,-1.983071,1.21895,,,,,-.2458352,9.830123,-2.428911,-7.271507,.0643309,-.4680755,6.570726,-4.183339,-.03385,-.0925832,-.5272282,-.565318
4917,596,,.017385,.0561844,.9264306,121.6767,92.9,104.1256,102.6971,14725.33,22088,3,70,84,5,5,0,0,13,0,0,1,0,.5,2000,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,,.5579449,-2.792093,1.223781,,,,,-.1590395,5.87295,-1.484149,-4.787992,.081981,-.5731108,8.003475,-4.719499,-.03378,-.0916932,-.5238231,-.5745173
4918,597,.0116486,.0116486,.106071,.8706318,132.6439,92.9,104.3894,101.1336,22208.26,51079,5,31,29,1,1,1,2,13,0,1,1,1,1,2000,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,2.191813,.8430893,-1.470222,1.287106,1.522114,-.1983273,.521815,-4.038476,-.2525736,9.283022,-1.917714,-7.95654,.0651494,-.3239934,3.522665,-1.792929,-.0383026,-.0954554,-.5323299,-.6210762
4919,598,,.0120994,.0545687,.9333318,110.7094,92.9,104.3,102.0407,25207.78,45374,4,10,27,1,1,1,2,13,1,0,1,1,0,2000,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,,.9074833,-3.921919,1.273144,,,,,-.2459897,8.903108,-1.800794,-7.764104,.1036439,-.6377962,7.672521,-3.21589,-.0343987,-.0886748,-.4911037,-.6589897
4920,599,.0204502,.0125795,.1886579,.7783124,110.7094,92.9,104.1196,102.1687,13854.76,29095,4,71,32,1,1,2,2,13,1,0,1,1,0,2000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1.575417,.7308765,-.2800731,1.299512,.444152,-.1186149,.217071,-2.118274,-.2303721,8.515087,-1.875424,-7.140442,.0253177,-.1769212,1.607772,-1.175939,-.0403587,-.1077865,-.6074988,-.5438946
4921,600,.19685,.0453105,.1924987,.5653408,132.6439,92.9,106.0817,102.1902,14095.33,21143,3,71,57,4,4,0,0,13,0,1,1,1,1,2000,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1.056626,.8195817,-.1374782,1.382055,-.850162,-.012433,.019563,-.2136622,-.0601377,1.636473,-.5735612,-1.822557,.0276723,-.1689007,1.631164,-1.352055,-.0567757,-.1494662,-.8567544,-.3191555
