,quantite_carbu,quantite_diesel,quantite_essence,diesel_ttc,super_95_ttc,rev_disponible,rural,petite_villes,villes_moyennes,grandes_villes,agglo_paris,nenfants,nadultes,ocde10,situapr,situacj,poste_coicop_411,poste_coicop_412,poste_coicop_421,ln_quantite_carbu,ln_diesel_ttc,ln_super_95_ttc,ln_rev_disponible,loyer
744,1167.84049887,737.183319919,430.657178953,0.984925,1.1261,48744.8203125,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.79999995232,1.0,1.0,0.0,0.0,17187.0507812,7.06291159488,-0.015189782841,0.118760335721,10.7943542208,17187.0507812
745,1437.48699947,1437.48699947,0.0,0.984925,1.1261,27086.8808594,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.5,1.0,4.0,12107.0214844,0.0,0.0,7.27065172878,-0.015189782841,0.118760335721,10.2068047885,12107.0214844
746,2335.54790693,1077.09072568,1258.45718125,0.984925,1.1261,63718.4179688,0.0,0.0,1.0,0.0,0.0,2.0,2.0,2.29999995232,1.0,5.0,0.0,0.0,15154.6220703,7.75600179222,-0.015189782841,0.118760335721,11.0622289359,15154.6220703
747,2731.36789492,2731.36789492,0.0,0.984925,1.1261,99520.59375,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.5,5.0,5.0,0.0,0.0,9732.72753906,7.9125578231,-0.015189782841,0.118760335721,11.5081198741,9732.72753906
748,1069.02849248,1069.02849248,0.0,0.984925,1.1261,46378.5976562,0.0,0.0,0.0,1.0,0.0,2.0,2.0,2.09999990463,1.0,1.0,0.0,0.0,16707.6054688,6.97450556407,-0.015189782841,0.118760335721,10.7445933744,16707.6054688
749,2375.72109857,1499.64140199,876.079696583,0.984925,1.1261,59850.1015625,0.0,0.0,0.0,1.0,0.0,3.0,2.0,2.59999990463,1.0,1.0,11439.9677734,0.0,3431.15649414,7.77305629084,-0.015189782841,0.118760335721,10.9995984079,14871.1242676
750,356.342794227,356.342794227,0.0,0.984925,1.1261,26331.4277344,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.29999995232,1.0,0.0,12507.2539062,0.0,0.0,5.87589317269,-0.015189782841,0.118760335721,10.1785184756,12507.2539062
751,1138.14403382,718.437884745,419.706149079,0.984925,1.1261,52415.4570312,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,5.0,3877.24853516,0.0,11521.265625,7.03715417419,-0.015189782841,0.118760335721,10.8669568083,15398.5141602
752,0.0,0.0,0.0,0.984925,1.1261,38557.4804688,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.79999995232,1.0,1.0,0.0,0.0,9605.57128906,0.0,-0.015189782841,0.118760335721,10.559905406,9605.57128906
753,0.0,0.0,0.0,0.984925,1.1261,12155.5273438,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,7.0,0.0,0.0,0.0,12505.1689453,0.0,-0.015189782841,0.118760335721,9.40553927073,12505.1689453
754,1614.30343348,0.0,1614.30343348,0.984925,1.1261,43310.09375,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.5,5.0,5.0,0.0,0.0,15932.15625,7.38665883208,-0.015189782841,0.118760335721,10.6761409988,15932.15625
