,ident_men,w1,w2,w3,w4,p1,p2,p3,p4,agepr,depenses_par_uc,depenses_tot,dip14pr,elect_only,nactifs,nenfants,situacj,situapr,sourcp,typmen,vag,veh_diesel,veh_essence,prix_carbu_consommateur,year,rural,villes_petites,villes_moyennes,villes_grandes,agglo_paris,proprietaire,accedant,locataire,sous_loc,loge_gratuit,vag_23,vag_24,vag_25,vag_26,vag_27,vag_28
5805,15144,0.06555776076615316,0.06218693885266043,0.3132659168950635,0.5589893834861229,163.68,219.643875845,125.201882542,123.67666817,48.0,21162.0,31743.0,33,0,2.0,0.0,1,1,4,3,23,1.0,0.0,,2011,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
5806,15145,0.0,0.021587004623216822,0.21122884023817662,0.7671841551386066,163.68,105.795381684,126.159816897,125.130479987,68.0,37059.333333333336,55589.0,42,1,0.0,0.0,5,5,10,3,23,1.0,1.0,,2011,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
5807,15147,0.18865982413316473,0.05387759903537923,0.11060788753933476,0.6468546892921213,192.044374328,187.572778844,123.983810157,128.139030234,67.0,22668.666666666668,34003.0,20,0,0.0,0.0,5,5,4,3,23,1.0,1.0,1.45850078071,2011,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
5808,15169,0.0,0.12127758962980265,0.2580287282494453,0.620693682120752,163.68,109.904824637,124.24269518,125.329866416,63.0,11417.333333333334,17126.0,50,0,1.0,0.0,5,1,6,3,23,0.0,1.0,,2011,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
5809,15175,0.0,0.05926979611190138,0.2371384542437174,0.7035917496443812,163.68,105.77,125.152584354,131.079663887,63.0,11248.0,16872.0,71,1,0.0,0.0,5,5,2,3,23,1.0,0.0,,2011,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
5810,15177,0.2046868296868297,0.015604890604890604,0.16795366795366795,0.6117546117546118,178.514191008,105.787270012,128.059565773,130.333434432,58.0,18648.0,18648.0,70,1,1.0,0.0,0,1,2,1,23,0.0,1.0,1.35574440993,2011,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
5811,15184,0.11505859806884351,0.02432372668976192,0.026829807621434363,0.8337878676199602,152.626126448,121.363466767,120.93956044,122.71408239,30.0,13567.0,13567.0,71,0,1.0,0.0,0,1,99,1,23,1.0,0.0,1.15913483725,2011,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
5812,15189,0.14172934336160453,0.04107323838480824,0.08673387742038727,0.7304635408332,249.202309537,105.795381684,123.143370234,121.078975464,52.0,8150.869734201633,18747.0,50,1,3.0,2.0,1,1,0,4,23,0.0,1.0,1.89259260672,2011,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
5813,15190,0.0,0.12807134048003035,0.1841381273123992,0.6877905322075705,163.68,199.928830932,123.22515456,118.806282069,74.0,14054.666666666666,21082.0,70,0,0.0,0.0,5,5,4,3,23,1.0,0.0,,2011,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
5814,15201,0.0,0.016395275179789098,0.13555911614561986,0.848045608674591,163.68,117.522040255,125.454579439,120.947619843,31.0,14909.44483940985,26837.0,50,0,2.0,1.0,1,1,2,4,23,2.0,0.0,,2011,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
5815,15205,0.0,0.02556303391146777,0.15606393994304946,0.8183730261454828,163.68,162.523532714,125.977976363,123.370502353,33.0,25753.33230998785,61808.0,12,0,1.0,3.0,6,1,2,4,23,1.0,0.0,,2011,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
5816,15210,0.03479582371168611,0.03442082617877514,0.16109104545364833,0.7696923046558904,163.68,162.277981152,124.310167851,122.188210934,30.0,33778.0,50667.0,33,0,2.0,0.0,1,1,2,3,23,2.0,0.0,,2011,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
5817,15221,0.0,0.011544011544011544,0.03527107812822099,0.9531849103277674,163.68,111.937917126,126.051654004,126.540806462,54.0,48510.0,48510.0,12,0,1.0,0.0,0,1,2,1,23,1.0,0.0,,2011,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
5818,15245,0.0,0.03619909502262444,0.07147000812159184,0.8923308968557837,163.68,164.565156719,123.378349567,128.107936116,53.0,17238.0,25857.0,10,0,1.0,0.0,6,1,2,3,23,1.0,0.0,,2011,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
5819,15247,0.1277576332644278,0.08366938899996611,0.1634077738994883,0.6251652038361178,163.68,108.617842024,125.221198673,118.566077082,58.0,19672.666666666668,29509.0,41,0,2.0,0.0,1,1,0,3,23,0.0,2.0,,2011,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
5820,15256,0.0,0.009610738255033557,0.03319910514541387,0.9571901565995525,163.68,105.795381684,127.282269542,123.981046875,44.0,15520.833744495014,55875.0,12,1,2.0,5.0,6,1,10,4,23,1.0,1.0,,2011,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
5821,15282,0.06437523737181922,0.05791872388909989,0.19756931257121155,0.6801367261678694,152.758778735,105.795381684,125.637968089,121.252797632,81.0,17553.333333333332,26330.0,70,1,0.0,0.0,5,5,0,3,23,1.0,0.0,1.1601422787,2011,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
5822,15288,0.08333545382834169,0.06384386371154482,0.16921550166670907,0.6836051807934044,163.68,157.279663138,123.483336842,151.164014517,62.0,19649.5,39299.0,50,0,2.0,1.0,5,1,3,4,23,0.0,2.0,,2011,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
5823,15294,0.0,0.033690393918451966,0.00775310988251555,0.9585564961990325,163.68,105.795381684,126.290362117,123.92805227,33.0,25724.44512590952,46304.0,60,1,2.0,1.0,1,1,1,4,23,1.0,0.0,,2011,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
5824,15304,0.0,0.018134359115263086,0.11952191235059761,0.8623437285341393,163.68,105.795381684,123.419034483,118.329129361,26.0,14558.0,14558.0,30,1,0.0,0.0,0,3,2,1,23,0.0,0.0,,2011,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
