,elas_exp_1,elas_exp_2,elas_exp_3,elas_price_1_1,elas_price_1_2,elas_price_1_3,elas_price_2_1,elas_price_2_2,elas_price_2_3,elas_price_3_1,elas_price_3_2,elas_price_3_3,ident_men,year
2976,0.0,0.554722,1.110728,0.0,0.0,0.0,0.0687569,-0.739506721496582,0.1160278,-0.0295714,-0.039091,-1.042065978050232,7191,2017
2977,0.0,-0.2386405,1.075538,0.0,0.0,0.0,0.3500004,0.0,-0.4282721,-0.0261248,-0.0320165,-1.0173970460891724,10734,2017
2978,0.0,0.3691569,1.119833,0.0,0.0,0.0,0.0901774,-0.6902009844779968,0.2308667,-0.0297045,-0.0379726,-1.0521559715270996,10371,2017
2979,0.4120595,0.0731443,1.081432,-0.7569614052772522,0.072374,0.2725278,0.2058974,-0.09125789999961853,-0.1877839,-0.0278618,-0.0360279,-1.0175420045852661,8521,2017
2980,0.5969979,0.2881181,1.08882,-0.8233165144920349,0.0530601,0.1732584,0.1425947,-0.4117574095726013,-0.0189554,-0.0298912,-0.0380935,-1.020835041999817,13486,2017
2981,0.0,0.7325898,1.099406,0.0,0.0,0.0,0.0432047,-0.8101270198822021,0.0343325,-0.0295013,-0.0392661,-1.0306390523910522,3469,2017
2982,0.4068236,0.6474828,1.107094,-0.7811195850372314,0.0675615,0.3067345,0.0560289,-0.7305707931518555,0.0270591,-0.0302298,-0.0409555,-1.0359090566635132,9582,2017
2983,0.4872581,-0.5708247,1.07899,-0.7893046140670776,0.0617284,0.2403181,0.3716017,0.0,-0.4894075,-0.0276539,-0.0358164,-1.0155199766159058,1218,2017
2984,0.0,0.516838,1.078169,0.0,0.0,0.0,0.0982245,-0.5984718203544617,-0.0165908,-0.0271742,-0.0343371,-1.0166579484939575,9830,2017
2985,0.4550277,0.5787474,1.067122,-0.7707496285438538,0.0709826,0.2447392,0.1553034,-0.21032699942588806,-0.5237238,-0.0274051,-0.0366143,-1.0031030178070068,13862,2017
2986,0.0,0.8450754,1.133159,0.0,0.0,0.0,0.0279776,-0.9070978760719299,0.0340449,-0.0377655,-0.0458404,-1.0495530366897583,7101,2017
2987,0.0,0.1791182,1.078542,0.0,0.0,0.0,0.1666411,-0.14211270213127136,-0.2036467,-0.0249429,-0.033747,-1.0198520421981812,236,2017
2988,0.0,0.5391113,1.078712,0.0,0.0,0.0,0.1091824,-0.49149230122566223,-0.1568014,-0.0259317,-0.0340489,-1.0187309980392456,6208,2017
2989,0.0,0.6634915,1.081097,0.0,0.0,0.0,0.0617522,-0.7580084204673767,0.0327646,-0.0292497,-0.0371336,-1.014714002609253,7350,2017
2990,0.0,0.5807811,1.129218,0.0,0.0,0.0,0.0651985,-0.7967557907104492,0.1507762,-0.0329446,-0.0418908,-1.0543819665908813,7440,2017
2991,0.0,0.4432719,1.076426,0.0,0.0,0.0,0.103362,-0.5889108180999756,0.0422769,-0.0273251,-0.0339159,-1.015184998512268,15276,2017
2992,0.6028175,0.5189639,1.090027,-0.8131347894668579,0.0556147,0.1547026,0.1111199,-0.6550235748291016,0.0249399,-0.0323283,-0.0367714,-1.0209269523620605,9206,2017
2993,0.0,0.6767312,1.105115,0.0,0.0,0.0,0.0522565,-0.8016232848167419,0.0726356,-0.0299605,-0.0380526,-1.0371019840240479,7604,2017
2994,0.6463681,-5.058297,1.090966,-0.8405526280403137,0.0463001,0.1478844,1.159407,0.0,0.6815669,-0.0298307,-0.0362688,-1.024865984916687,3248,2017
2995,0.0,0.434539,1.073839,0.0,0.0,0.0,0.147328,-0.38610339164733887,-0.1957636,-0.0264368,-0.0335183,-1.0138839483261108,12164,2017
2996,0.494666,0.3815124,1.103588,-0.8268249034881592,0.0574248,0.2747341,0.1138011,-0.46907758712768555,-0.026236,-0.029471,-0.0400619,-1.0340549945831299,4341,2017
2997,0.4087325,-0.4110864,1.101487,-0.7760453820228577,0.0669368,0.3003762,0.2881309,-0.1030735969543457,0.2260291,-0.030425,-0.0354743,-1.035588026046753,9125,2017
2998,0.0,0.2397561,1.097072,0.0,0.0,0.0,0.1349505,-0.5834650993347168,0.2087584,-0.0293093,-0.0346315,-1.0331310033798218,3204,2017
2999,0.0,0.7382675,1.118866,0.0,0.0,0.0,0.0381024,-0.8486468195915222,0.0722769,-0.0313966,-0.0405641,-1.0469050407409668,12287,2017
3000,0.0,0.5385825,1.097151,0.0,0.0,0.0,0.084392,-0.6559928059577942,0.0330183,-0.0278932,-0.0364627,-1.0327949523925781,12886,2017
3001,0.0,0.3142696,1.081164,0.0,0.0,0.0,0.1518787,-0.42971691489219666,-0.0364314,-0.0269631,-0.0331745,-1.0210260152816772,14761,2017
3002,0.4695944,0.5959701,1.09187,-0.7381197810173035,0.0829282,0.1855973,0.0686481,-0.7077661752700806,0.043148,-0.0305819,-0.0402355,-1.0210520029067993,9529,2017
