,label_division,label_groupe,label_classe,label_sous_classe,label_poste,code_coicop
132,Habillement et chaussures,Habillement,Vêtements,Vêtements de dessus pour hommes,Vestes pour hommes,3.1.2.1.3
133,Habillement et chaussures,Habillement,Vêtements,Vêtements de dessus pour hommes,Pantalons pour hommes,3.1.2.1.4
134,Habillement et chaussures,Habillement,Vêtements,Vêtements de dessus pour hommes,Vêtements de travail,3.1.2.1.5
135,Habillement et chaussures,Habillement,Vêtements,Vêtements de dessus pour femmes,"Manteaux, imper et vêtements en peau pour femmes",3.1.2.2.1
136,Habillement et chaussures,Habillement,Vêtements,Vêtements de dessus pour femmes,Tailleurs et ensembles pour femmes,3.1.2.2.2
137,Habillement et chaussures,Habillement,Vêtements,Vêtements de dessus pour femmes,Jupes,3.1.2.2.3
138,Habillement et chaussures,Habillement,Vêtements,Vêtements de dessus pour femmes,Robes,3.1.2.2.4
139,Habillement et chaussures,Habillement,Vêtements,Vêtements de dessus pour femmes,Pantalons pour femmes,3.1.2.2.5
140,Habillement et chaussures,Habillement,Vêtements,Vêtements de dessus pour femmes,Vestes pour femmes,3.1.2.2.6
141,Habillement et chaussures,Habillement,Vêtements,Vêtements de dessus pour enfants,"Manteaux, imperméables et vestes pour enfants",3.1.2.3.1
142,Habillement et chaussures,Habillement,Vêtements,Vêtements de dessus pour enfants,Pantalons pour enfants,3.1.2.3.2
143,Habillement et chaussures,Habillement,Vêtements,Vêtements de dessus pour enfants,"Jupes, robes et ensembles pour enfants",3.1.2.3.3
144,Habillement et chaussures,Habillement,Vêtements,Vêtements de sport,Vêtements de sport ou de loisirs pour hommes et garçonnets,3.1.2.4.1
145,Habillement et chaussures,Habillement,Vêtements,Vêtements de sport,Vêtements de sport ou de loisir pour femmes et fillettes,3.1.2.4.2
146,Habillement et chaussures,Habillement,Vêtements,"Lingerie, bonneterie   pour hommes",Chemises pour hommes,3.1.2.5.1
147,Habillement et chaussures,Habillement,Vêtements,"Lingerie, bonneterie   pour hommes",Sous-vêtements et vêtements de nuit pour hommes,3.1.2.5.2
148,Habillement et chaussures,Habillement,Vêtements,"Lingerie, bonneterie   pour hommes",Chaussettes pour hommes,3.1.2.5.3
149,Habillement et chaussures,Habillement,Vêtements,"Lingerie, bonneterie   pour hommes",Tricots et pull-overs pour hommes,3.1.2.5.4
150,Habillement et chaussures,Habillement,Vêtements,"Lingerie, bonneterie pour femmes",Chemisiers et tuniques pour femmes,3.1.2.6.1
151,Habillement et chaussures,Habillement,Vêtements,"Lingerie, bonneterie pour femmes","Lingerie, vêtements de nuit pour femmes",3.1.2.6.2
152,Habillement et chaussures,Habillement,Vêtements,"Lingerie, bonneterie pour femmes","Collants, bas et chaussettes pour femmes",3.1.2.6.3
153,Habillement et chaussures,Habillement,Vêtements,"Lingerie, bonneterie pour femmes",Tricots et pull-overs pour femmes,3.1.2.6.4
154,Habillement et chaussures,Habillement,Vêtements,"Lingerie, bonneterie pour enfants","Chemises, sous- vêtements et vêtements de nuit enfants",3.1.2.7.1
155,Habillement et chaussures,Habillement,Vêtements,"Lingerie, bonneterie pour enfants",Collants et chaussettes pour enfants,3.1.2.7.2
156,Habillement et chaussures,Habillement,Vêtements,"Lingerie, bonneterie pour enfants",Tricots et pull-overs pour enfants,3.1.2.7.3
157,Habillement et chaussures,Habillement,Vêtements,"Lingerie, bonneterie pour enfants",Layette,3.1.2.7.4
158,Habillement et chaussures,Habillement,Autres articles vestimentaires et accessoires d'habillement,Autres articles vestimentaires et accessoires d'habillement,Accessoires du vêtement et vêtements de travail,3.1.3.1.1
159,Habillement et chaussures,Habillement,Autres articles vestimentaires et accessoires d'habillement,Autres articles vestimentaires et accessoires d'habillement,Laines et mercerie,3.1.3.1.2
160,Habillement et chaussures,Habillement,"Nettoyage, réparation et location de vêtements",Nettoyage et réparation de vêtements,Blanchissage et nettoyage de vêtements,3.1.4.1.1
161,Habillement et chaussures,Habillement,"Nettoyage, réparation et location de vêtements",Nettoyage et réparation de vêtements,Réparations de vêtements,3.1.4.1.2
162,Habillement et chaussures,Chaussures y.c. réparation,Chaussures y.c. réparation,Chaussures de ville,Chaussures de ville pour hommes,3.2.1.1.1
