posteCOICOP;annee;description;categoriefiscale;supplementaire
0313;1995;Autres articles et accessoires d'habillement;3;0
0313;1996;Autres articles et accessoires d'habillement;3;0
0313;1997;Autres articles et accessoires d'habillement;3;0
0313;1998;Autres articles et accessoires d'habillement;3;0
0313;1999;Autres articles et accessoires d'habillement;3;0
0313;2000;Autres articles et accessoires d'habillement;3;0
0313;2001;Autres articles et accessoires d'habillement;3;0
0313;2002;Autres articles et accessoires d'habillement;3;0
0313;2003;Autres articles et accessoires d'habillement;3;0
0313;2004;Autres articles et accessoires d'habillement;3;0
0313;2005;Autres articles et accessoires d'habillement;3;0
0313;2006;Autres articles et accessoires d'habillement;3;0
0313;2007;Autres articles et accessoires d'habillement;3;0
0313;2008;Autres articles et accessoires d'habillement;3;0
0313;2009;Autres articles et accessoires d'habillement;3;0
0313;2010;Autres articles et accessoires d'habillement;3;0
0313;2011;Autres articles et accessoires d'habillement;3;0
0313;2012;Autres articles et accessoires d'habillement;3;0
0313;2013;Autres articles et accessoires d'habillement;3;0
0313;2014;Autres articles et accessoires d'habillement;3;0
0314;1994;Nettoyage, réparation et location d'articles d'habillement;3;0
0314;1995;Nettoyage, réparation et location d'articles d'habillement;3;0
0314;1996;Nettoyage, réparation et location d'articles d'habillement;3;0
0314;1997;Nettoyage, réparation et location d'articles d'habillement;3;0
0314;1998;Nettoyage, réparation et location d'articles d'habillement;3;0
0314;1999;Nettoyage, réparation et location d'articles d'habillement;3;0
0314;2000;Nettoyage, réparation et location d'articles d'habillement;3;0
0314;2001;Nettoyage, réparation et location d'articles d'habillement;3;0
0314;2002;Nettoyage, réparation et location d'articles d'habillement;3;0
0314;2003;Nettoyage, réparation et location d'articles d'habillement;3;0
0314;2004;Nettoyage, réparation et location d'articles d'habillement;3;0
0314;2005;Nettoyage, réparation et location d'articles d'habillement;3;0
0314;2006;Nettoyage, réparation et location d'articles d'habillement;3;0
0314;2007;Nettoyage, réparation et location d'articles d'habillement;3;0
0314;2008;Nettoyage, réparation et location d'articles d'habillement;3;0
0314;2009;Nettoyage, réparation et location d'articles d'habillement;3;0
0314;2010;Nettoyage, réparation et location d'articles d'habillement;3;0
0314;2011;Nettoyage, réparation et location d'articles d'habillement;3;0
0314;2012;Nettoyage, réparation et location d'articles d'habillement;3;0
0314;2013;Nettoyage, réparation et location d'articles d'habillement;3;0
0314;2014;Nettoyage, réparation et location d'articles d'habillement;3;0
0321;1994;Chaussures diverses;3;0
0321;1995;Chaussures diverses;3;0
0321;1996;Chaussures diverses;3;0
0321;1997;Chaussures diverses;3;0
0321;1998;Chaussures diverses;3;0
0321;1999;Chaussures diverses;3;0
0321;2000;Chaussures diverses;3;0
0321;2001;Chaussures diverses;3;0
0321;2002;Chaussures diverses;3;0
0321;2003;Chaussures diverses;3;0
0321;2004;Chaussures diverses;3;0
0321;2005;Chaussures diverses;3;0
0321;2006;Chaussures diverses;3;0
0321;2007;Chaussures diverses;3;0
0321;2008;Chaussures diverses;3;0
0321;2009;Chaussures diverses;3;0
0321;2010;Chaussures diverses;3;0
0321;2011;Chaussures diverses;3;0
0321;2012;Chaussures diverses;3;0
0321;2013;Chaussures diverses;3;0
0321;2014;Chaussures diverses;3;0
0322;1994;Cordonnerie et location de chaussures;3;0
0322;1995;Cordonnerie et location de chaussures;3;0
0322;1996;Cordonnerie et location de chaussures;3;0
0322;1997;Cordonnerie et location de chaussures;3;0
0322;1998;Cordonnerie et location de chaussures;3;0
0322;1999;Cordonnerie et location de chaussures;3;0
0322;2000;Cordonnerie et location de chaussures;3;0
0322;2001;Cordonnerie et location de chaussures;3;0
0322;2002;Cordonnerie et location de chaussures;3;0
0322;2003;Cordonnerie et location de chaussures;3;0
0322;2004;Cordonnerie et location de chaussures;3;0
0322;2005;Cordonnerie et location de chaussures;3;0
0322;2006;Cordonnerie et location de chaussures;3;0
0322;2007;Cordonnerie et location de chaussures;3;0
0322;2008;Cordonnerie et location de chaussures;3;0
0322;2009;Cordonnerie et location de chaussures;3;0
0322;2010;Cordonnerie et location de chaussures;3;0
0322;2011;Cordonnerie et location de chaussures;3;0
0322;2012;Cordonnerie et location de chaussures;3;0
0322;2013;Cordonnerie et location de chaussures;3;0
0322;2014;Cordonnerie et location de chaussures;3;0
0411;1994;Loyers effectivement payés par les locataires;0;0
0411;1995;Loyers effectivement payés par les locataires;0;0
0411;1996;Loyers effectivement payés par les locataires;0;0
0411;1997;Loyers effectivement payés par les locataires;0;0
0411;1998;Loyers effectivement payés par les locataires;0;0
0411;1999;Loyers effectivement payés par les locataires;0;0
0411;2000;Loyers effectivement payés par les locataires;0;0
0411;2001;Loyers effectivement payés par les locataires;0;0
0411;2002;Loyers effectivement payés par les locataires;0;0
0411;2003;Loyers effectivement payés par les locataires;0;0
0411;2004;Loyers effectivement payés par les locataires;0;0
0411;2005;Loyers effectivement payés par les locataires;0;0
0411;2006;Loyers effectivement payés par les locataires;0;0
0411;2007;Loyers effectivement payés par les locataires;0;0
0411;2008;Loyers effectivement payés par les locataires;0;0
0411;2009;Loyers effectivement payés par les locataires;0;0
0411;2010;Loyers effectivement payés par les locataires;0;0
0411;2011;Loyers effectivement payés par les locataires;0;0
0411;2012;Loyers effectivement payés par les locataires;0;0
0411;2013;Loyers effectivement payés par les locataires;0;0
0411;2014;Loyers effectivement payés par les locataires;0;0
0412;1994;Autres loyers effectifs;0;0
0412;1995;Autres loyers effectifs;0;0
0412;1996;Autres loyers effectifs;0;0
0412;1997;Autres loyers effectifs;0;0
0412;1998;Autres loyers effectifs;0;0
0412;1999;Autres loyers effectifs;0;0
0412;2000;Autres loyers effectifs;0;0
0412;2001;Autres loyers effectifs;0;0
0412;2002;Autres loyers effectifs;0;0
0412;2003;Autres loyers effectifs;0;0
0412;2004;Autres loyers effectifs;0;0
0412;2005;Autres loyers effectifs;0;0
0412;2006;Autres loyers effectifs;0;0
0412;2007;Autres loyers effectifs;0;0
0412;2008;Autres loyers effectifs;0;0
0412;2009;Autres loyers effectifs;0;0
0412;2010;Autres loyers effectifs;0;0
0412;2011;Autres loyers effectifs;0;0
0412;2012;Autres loyers effectifs;0;0
0412;2013;Autres loyers effectifs;0;0
0412;2014;Autres loyers effectifs;0;0
0421;1994;Loyers fictifs des propriétaires occupants;0;0
0421;1995;Loyers fictifs des propriétaires occupants;0;0
0421;1996;Loyers fictifs des propriétaires occupants;0;0
0421;1997;Loyers fictifs des propriétaires occupants;0;0
0421;1998;Loyers fictifs des propriétaires occupants;0;0
0421;1999;Loyers fictifs des propriétaires occupants;0;0
0421;2000;Loyers fictifs des propriétaires occupants;0;0
0421;2001;Loyers fictifs des propriétaires occupants;0;0
0421;2002;Loyers fictifs des propriétaires occupants;0;0
0421;2003;Loyers fictifs des propriétaires occupants;0;0
0421;2004;Loyers fictifs des propriétaires occupants;0;0
0421;2005;Loyers fictifs des propriétaires occupants;0;0
0421;2006;Loyers fictifs des propriétaires occupants;0;0
0421;2007;Loyers fictifs des propriétaires occupants;0;0
0421;2008;Loyers fictifs des propriétaires occupants;0;0
0421;2009;Loyers fictifs des propriétaires occupants;0;0
0421;2010;Loyers fictifs des propriétaires occupants;0;0
0421;2011;Loyers fictifs des propriétaires occupants;0;0
0421;2012;Loyers fictifs des propriétaires occupants;0;0
0421;2013;Loyers fictifs des propriétaires occupants;0;0
0421;2014;Loyers fictifs des propriétaires occupants;0;0
0422;1994;Autres loyers fictifs;0;0
0422;1995;Autres loyers fictifs;0;0
0422;1996;Autres loyers fictifs;0;0
0422;1997;Autres loyers fictifs;0;0
0422;1998;Autres loyers fictifs;0;0
0422;1999;Autres loyers fictifs;0;0
0422;2000;Autres loyers fictifs;0;0
0422;2001;Autres loyers fictifs;0;0
0422;2002;Autres loyers fictifs;0;0
0422;2003;Autres loyers fictifs;0;0
0422;2004;Autres loyers fictifs;0;0
0422;2005;Autres loyers fictifs;0;0
0422;2006;Autres loyers fictifs;0;0
0422;2007;Autres loyers fictifs;0;0
0422;2008;Autres loyers fictifs;0;0
0422;2009;Autres loyers fictifs;0;0
0422;2010;Autres loyers fictifs;0;0
0422;2011;Autres loyers fictifs;0;0
0422;2012;Autres loyers fictifs;0;0
0422;2013;Autres loyers fictifs;0;0
0422;2014;Autres loyers fictifs;0;0
